apt_name,avg_price,count,avg_area,region_code,region_name
BRUNNEN청담,520000.0,1,202.79,11680,서울강남구
e-편한세상,275500.0,2,59.606,11680,서울강남구
가람,230000.0,1,75.16,11680,서울강남구
강남 더샵 포레스트,320000.0,1,124.5792,11680,서울강남구
강남데시앙파크,163200.0,4,92.395,11680,서울강남구
강남브리즈힐(토지임대부아파트),128666.66666666667,3,74.17333333333333,11680,서울강남구
강남센트럴아이파크,361000.0,2,87.5805,11680,서울강남구
강남엘에이치1단지,182666.66666666666,3,64.83999999999999,11680,서울강남구
강남자곡 힐스테이트,143400.0,6,60.02166666666667,11680,서울강남구
강남한신휴플러스6단지,180000.0,1,84.83,11680,서울강남구
강남한양수자인(4단지),227750.0,2,99.725,11680,서울강남구
개나리푸르지오,335000.0,2,96.2603,11680,서울강남구
개포더샵트리에,282500.0,2,107.00405,11680,서울강남구
개포래미안포레스트,326818.1818181818,11,81.0290909090909,11680,서울강남구
개포우성2,576666.6666666666,3,148.99333333333334,11680,서울강남구
개포우성3차,295000.0,1,104.43,11680,서울강남구
개포자이르네,144000.0,1,50.8665,11680,서울강남구
개포자이프레지던스,353450.0,10,78.56184,11680,서울강남구
개포주공5단지,211000.0,1,53.98,11680,서울강남구
개포주공6단지,320000.0,1,60.13,11680,서울강남구
개포주공7단지,301500.0,2,57.11,11680,서울강남구
개포한신,290000.0,1,82.3,11680,서울강남구
거평프리젠,35000.0,1,30.215,11680,서울강남구
경남,226000.0,1,59.76,11680,서울강남구
경남아너스빌,168500.0,2,82.85050000000001,11680,서울강남구
그랜빌캐슬,250000.0,1,136.14,11680,서울강남구
까치마을,160021.42857142858,14,38.09571428571429,11680,서울강남구
네오블로썸,150000.0,1,101.16,11680,서울강남구
논현동한화꿈에그린,128000.0,2,67.671,11680,서울강남구
논현파라곤,176000.0,2,101.12,11680,서울강남구
대림아크로빌,330250.0,2,151.5045,11680,서울강남구
대림역삼,230000.0,1,84.96,11680,서울강남구
대명벨리온,16000.0,1,17.684,11680,서울강남구
대우디오빌,61250.0,2,44.7675,11680,서울강남구
대우로얄카운티2,473000.0,1,241.24,11680,서울강남구
대우아이빌멤버스(891-26),25000.0,1,35.796,11680,서울강남구
대우아이빌명문가(891-23),26000.0,1,33.06,11680,서울강남구
대우유로카운티,315000.0,1,157.2,11680,서울강남구
대치더클래스,221500.0,2,84.17,11680,서울강남구
대치르엘,280000.0,1,59.9972,11680,서울강남구
대치삼성,360000.0,1,97.35,11680,서울강남구
대치현대,266000.0,3,68.21333333333332,11680,서울강남구
더원센트럴,43000.0,1,26.96,11680,서울강남구
도곡1차아이파크,251000.0,1,134.789,11680,서울강남구
도곡렉슬,363538.46153846156,13,93.17113076923077,11680,서울강남구
도곡스타클래스,183500.0,2,112.065,11680,서울강남구
