apt_name,trade_price,jeonse_price,gap_man,gap_ratio,region_code,region_name
e-편한세상,284000.0,128685.71428571429,155314.2857142857,0.5469,11680,서울강남구
가람,230000.0,79975.0,150025.0,0.6523,11680,서울강남구
강남 더샵 포레스트,320000.0,184000.0,136000.0,0.425,11680,서울강남구
강남데시앙파크,163200.0,61466.75,101733.25,0.6234,11680,서울강남구
강남센트럴아이파크,361000.0,169000.0,192000.0,0.5319,11680,서울강남구
강남엘에이치1단지,182666.66666666666,72133.75,110532.91666666666,0.6051,11680,서울강남구
강남자곡 힐스테이트,143400.0,51663.125,91736.875,0.6397,11680,서울강남구
강남한신휴플러스6단지,180000.0,55468.0,124532.0,0.6918,11680,서울강남구
강남한양수자인(4단지),227750.0,74135.57142857143,153614.42857142858,0.6745,11680,서울강남구
개나리푸르지오,335000.0,130000.0,205000.0,0.6119,11680,서울강남구
개포더샵트리에,282500.0,131250.0,151250.0,0.5354,11680,서울강남구
개포래미안포레스트,330500.0,141466.66666666666,189033.33333333334,0.572,11680,서울강남구
개포우성2,576666.6666666666,168333.33333333334,408333.33333333326,0.7081,11680,서울강남구
개포자이프레지던스,353450.0,148562.5,204887.5,0.5797,11680,서울강남구
개포주공6단지,320000.0,35055.0,284945.0,0.8905,11680,서울강남구
개포주공7단지,301500.0,38941.666666666664,262558.3333333333,0.8708,11680,서울강남구
거평프리젠,35000.0,23500.0,11500.0,0.3286,11680,서울강남구
경남아너스빌,168500.0,95000.0,73500.0,0.4362,11680,서울강남구
까치마을,159600.0,42750.8125,116849.1875,0.7321,11680,서울강남구
논현동한화꿈에그린,128000.0,73500.0,54500.0,0.4258,11680,서울강남구
논현파라곤,155000.0,90000.0,65000.0,0.4194,11680,서울강남구
대림아크로빌,330250.0,177283.33333333334,152966.66666666666,0.4632,11680,서울강남구
대우디오빌,61250.0,26840.0,34410.0,0.5618,11680,서울강남구
대치더클래스,221500.0,150000.0,71500.0,0.3228,11680,서울강남구
대치르엘,280000.0,165000.0,115000.0,0.4107,11680,서울강남구
대치삼성,360000.0,133083.33333333334,226916.66666666666,0.6303,11680,서울강남구
대치현대,248000.0,99766.66666666667,148233.3333333333,0.5977,11680,서울강남구
도곡1차아이파크,251000.0,127500.0,123500.0,0.492,11680,서울강남구
도곡렉슬,369750.0,168474.11764705883,201275.88235294117,0.5444,11680,서울강남구
도곡우성아파트,260000.0,70131.25,189868.75,0.7303,11680,서울강남구
동부센트레빌,565000.0,226775.0,338225.0,0.5986,11680,서울강남구
두산위브2단지,242000.0,95000.0,147000.0,0.6074,11680,서울강남구
