ym,avg_price,median_price,count,region_code,region_name
2026-05,301212.15419501136,273000.0,441,11680,서울강남구
2026-06,301667.92452830187,277500.0,212,11680,서울강남구
2026-07,319755.6179775281,271000.0,89,11680,서울강남구
2026-05,298355.0518134715,272750.0,386,11650,서울서초구
2026-06,286579.6449704142,246000.0,169,11650,서울서초구
2026-07,220229.72972972973,187000.0,37,11650,서울서초구
2026-05,216418.9816360601,203000.0,599,11710,서울송파구
2026-06,203407.40458015268,182000.0,262,11710,서울송파구
2026-07,197646.51162790696,187000.0,129,11710,서울송파구
2026-05,151314.8148148148,150000.0,270,11440,서울마포구
2026-06,152915.87837837837,147750.0,148,11440,서울마포구
2026-07,132830.64516129033,128500.0,62,11440,서울마포구
2026-05,238635.62820512822,204000.0,156,11170,서울용산구
2026-06,248958.06451612903,197000.0,62,11170,서울용산구
2026-07,243333.25925925927,197000.0,27,11170,서울용산구
2026-05,158112.1387283237,152000.0,519,41135,경기분당구
2026-06,163772.37136465326,159000.0,447,41135,경기분당구
2026-07,167234.30434782608,155000.0,230,41135,경기분당구
